start,end,file
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 45.109 -to 45.709 -c:a libmp3lame -q:a 2 "audio/your-song/077.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 45.709 -to 46.310 -c:a libmp3lame -q:a 2 "audio/your-song/078.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 46.310 -to 46.910 -c:a libmp3lame -q:a 2 "audio/your-song/079.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 46.910 -to 47.511 -c:a libmp3lame -q:a 2 "audio/your-song/080.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 47.511 -to 48.111 -c:a libmp3lame -q:a 2 "audio/your-song/081.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 48.111 -to 48.712 -c:a libmp3lame -q:a 2 "audio/your-song/082.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 48.712 -to 49.312 -c:a libmp3lame -q:a 2 "audio/your-song/083.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 49.312 -to 49.913 -c:a libmp3lame -q:a 2 "audio/your-song/084.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 49.913 -to 50.513 -c:a libmp3lame -q:a 2 "audio/your-song/085.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 50.513 -to 51.114 -c:a libmp3lame -q:a 2 "audio/your-song/086.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 51.114 -to 51.714 -c:a libmp3lame -q:a 2 "audio/your-song/087.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 51.714 -to 52.315 -c:a libmp3lame -q:a 2 "audio/your-song/088.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 52.315 -to 52.915 -c:a libmp3lame -q:a 2 "audio/your-song/089.mp3"
ffmpeg -i "Nathan Evans - Wellerman (Sea Shanty) 1.mp3" -ss 52.915 -to 53.516 -c:a libmp3lame -q:a 2 "audio/your-song/090.mp3"
